"YEAR" "MONTH" "MEAN_DML" "VAR_DML" "MEAN_Testisweight" "VAR_Testisweight" "N"
1989 12 179.888888888889 1321.86111111111 3.05566666666667 2.419605 9
1990 1 377.111111111111 10518.8611111111 9.96211111111111 9.71464036111111 9
1990 2 296 NA 8.84 NA 1
1990 3 276.186046511628 6750.63122923588 6.4463488372093 12.8874123754153 43
1990 4 321.571428571429 1876.41758241758 6.92357142857143 3.87472503296703 14
1990 5 330.666666666667 325.333333333333 9.24 1.965907 3
1990 6 343 559 6.067 0.164689 3
1990 7 204.78125 4117.59576612903 0.83146875 3.0694354828629 32
1990 8 248 1580.62745098039 1.10675 2.27472391666667 52
1990 9 281.222222222222 6816.82766439909 6.67075757575758 40.1053182467532 99
1990 10 229.8 2690.16551724138 4.06993333333333 14.3748759954023 30
1990 11 221.727272727273 3007.85579937304 5.60403409090909 17.4881148608934 88
1990 12 222.578947368421 5529.33143669986 6.48271052631579 19.2150484274538 38
1991 1 318.416666666667 2891.73571428571 10.2598611111111 8.09007589444444 36
1991 2 209.606060606061 5091.12121212121 4.68687878787879 9.26482129734848 33
1991 3 286.1875 3692.22177419355 5.64778125 4.73522869254032 32
1991 4 225.5625 4925.73790322581 3.5700625 4.51545618951613 32
1991 5 253.714285714286 8387.44537815126 3.20997142857143 2.92925026386555 35
1991 6 222.742857142857 3570.43193277311 2.32748571428571 10.6982980218487 35
1991 7 304.6 6526.3 4.6876 19.8582503 5
1991 9 256.714285714286 4682.68067226891 4.96477142857143 44.5374947697479 35
1991 10 256.528846153846 12459.3195481703 6.67311538461539 53.8406862001493 104
NA NA NA NA NA NA 1
